File_name; Goéland - Time; Goéland - Result; Goéland+DMT - Time; Goéland+DMT - Result
SYN466+1;0.00341;Unknown;0.00314;Unknown;
SYN481+1;0.00335;Unknown;0.00293;Unknown;
SYN321+1;0.00337;Unknown;0.00299;Unknown;
SYN318+1;0.00316;Unknown;0.00329;Unknown;
SYN070+1;0.00291;Unknown;0.00342;Unknown;
SYN957+1;0.00282;Unknown;0.00296;Unknown;
SYN971+1;0.00344;Unknown;0.00313;Unknown;
SYN482+1;0.00342;Unknown;0.00303;Unknown;
SYN362+1;0.00333;Unknown;0.00328;Unknown;
SYN336+1;0.00306;Unknown;0.00293;Unknown;
SYN730+1;0.00301;Unknown;0.00274;Unknown;
SYN373+1;0.0032;Unknown;0.00297;Unknown;
SYN064+1;0.00331;Unknown;0.00303;Unknown;
SYN357+1;0.00273;Unknown;0.00307;Unknown;
SYN448+1;0.00306;Unknown;0.00302;Unknown;
SYN047+1;0.00354;Unknown;0.00304;Unknown;
SYN368+1;0.00322;Unknown;0.00302;Unknown;
SYN483+1;0.00309;Unknown;
